name,Total population_2017,Population under age 18_2017,Percent under age 18_2017,Population ages 65+_2017,Percent ages 65+_2017,Latino population_2017,Percent Latino_2017,White population_2017,Percent white_2017,Black population_2017,Percent black_2017,Other race population_2017,Percent other race_2017,Foreign-born population_2017,Percent foreign-born_2017,Total households_2017,Owner-occupied households_2017,Homeownership rate_2017,Cost-burdened households_2017,Cost-burden rate_2017,Poverty status known_2017,Population in poverty_2017,Poverty rate_2017,Low-income population_2017,Low-income rate_2017,"Under 18, poverty status known_2017",Children in poverty_2017,Child poverty rate_2017,Low-income children_2017,Child low-income rate_2017,"Ages 65+, poverty status known_2017",Seniors in poverty_2017,Senior poverty rate_2017,Low-income seniors_2017,Senior low-income rate_2017,Life expectancy_2010-2015,High blood pressure_2015,Coronary heart disease_2016,Current asthma_2016,Diabetes_2016,Annual checkup_2016,Dental visit_2016,Health insurance_2016,Current smoking_2016,Sleep <7 hours_2016
Connecticut,3594478,762732,0.212,575757,0.16,551916,0.154,2446049,0.681,350820,0.098,245693,0.068,511893,0.142,1361755,906798,0.666,487769,0.358,3486033,350783,0.101,802453,0.23,752655,101679,0.135,225715,0.3,554336,39530,0.071,123171,0.222,,,,,,,,,,
Fairfield County,947328,219635,0.232,140926,0.149,180379,0.19,595323,0.628,98931,0.104,72695,0.077,205984,0.217,337678,228666,0.677,133169,0.394,929135,81422,0.088,198133,0.213,216767,23525,0.109,57196,0.264,136072,9518,0.07,27430,0.202,,,,,,,,,,
Stamford,128851,26199,0.203,17805,0.138,34160,0.265,63607,0.494,17573,0.136,13511,0.105,44986,0.349,48647,26406,0.543,20982,0.431,127945,11837,0.093,30490,0.238,25892,2671,0.103,8087,0.312,17322,1647,0.095,3720,0.215,,0.26,0.049,0.086,0.081,0.7,0.748,0.1,0.13,0.346
Belltown,4271,950,0.222,431,0.101,583,0.137,2807,0.657,386,0.09,494,0.116,1122,0.263,1656,1126,0.68,699,0.422,4245,285,0.067,741,0.175,925,91,0.098,231,0.25,431,15,0.035,72,0.167,81.608,0.245,0.046,0.085,0.072,0.699,0.784,0.075,0.131,0.338
Cove-East Side,18655,3781,0.203,2051,0.11,7960,0.427,6451,0.346,3359,0.18,885,0.047,8451,0.453,6473,2701,0.417,3657,0.565,18556,1616,0.087,5197,0.28,3781,322,0.085,1408,0.372,1963,294,0.15,578,0.294,80.667,0.267,0.05,0.09,0.086,0.686,0.705,0.129,0.151,0.363
Downtown,19206,2316,0.121,2574,0.134,3451,0.18,8157,0.425,2952,0.154,4646,0.242,8683,0.452,9498,2236,0.235,3670,0.386,19201,2828,0.147,4949,0.258,2311,275,0.119,607,0.263,2574,629,0.244,1211,0.47,81.1,0.237,0.043,0.082,0.075,0.684,0.744,0.087,0.123,0.351
Glenbrook,13387,2960,0.221,1966,0.147,4663,0.348,5595,0.418,1545,0.115,1583,0.118,5225,0.39,5202,3053,0.587,2519,0.484,13186,1157,0.088,4260,0.323,2934,457,0.156,1522,0.519,1817,72,0.04,389,0.214,81.185,0.264,0.051,0.09,0.086,0.7,0.731,0.103,0.141,0.356
Newfield,3620,686,0.19,712,0.197,441,0.122,2892,0.799,82,0.023,204,0.056,587,0.162,1299,1036,0.798,407,0.313,3620,116,0.032,294,0.081,685,0,0,15,0.022,711,65,0.091,149,0.21,81.5,0.287,0.061,0.082,0.08,0.737,0.825,0.05,0.106,0.307
North Stamford,14624,3197,0.219,2895,0.198,1372,0.094,11748,0.803,346,0.024,1158,0.079,2836,0.194,4946,4662,0.943,1306,0.264,14493,431,0.03,661,0.046,3197,57,0.018,111,0.035,2787,71,0.025,103,0.037,86.167,0.273,0.053,0.078,0.075,0.739,0.852,0.04,0.09,0.299
Palmers Hill,1009,205,0.203,255,0.253,47,0.047,885,0.877,38,0.038,39,0.039,185,0.183,362,315,0.87,118,0.326,986,14,0.014,43,0.044,204,0,0,0,0,234,8,0.034,21,0.09,85.4,0.281,0.058,0.08,0.077,0.744,0.841,0.046,0.094,0.298
Ridgeway,4431,826,0.186,636,0.144,1048,0.237,2065,0.466,830,0.187,488,0.11,1405,0.317,1604,1298,0.809,545,0.34,4392,195,0.044,465,0.106,787,46,0.058,85,0.108,636,19,0.03,82,0.129,84.1,0.248,0.044,0.083,0.075,0.704,0.781,0.086,0.122,0.345
Roxbury,1153,234,0.203,291,0.252,54,0.047,1012,0.878,43,0.037,44,0.038,211,0.183,414,360,0.87,135,0.326,1127,16,0.014,48,0.043,235,0,0,0,0,268,9,0.034,22,0.082,85.4,0.281,0.058,0.08,0.077,0.744,0.841,0.046,0.094,0.298
Shippan,2315,502,0.217,405,0.175,255,0.11,1872,0.809,10,0.004,178,0.077,467,0.202,855,742,0.868,311,0.364,2315,94,0.041,187,0.081,502,6,0.012,23,0.046,405,0,0,52,0.128,84.2,0.256,0.049,0.081,0.07,0.726,0.845,0.041,0.096,0.303
South End,4566,926,0.203,151,0.033,2207,0.483,1321,0.289,834,0.183,204,0.045,1627,0.356,1804,108,0.06,925,0.513,4491,1069,0.238,2160,0.481,859,273,0.318,635,0.739,151,86,0.57,115,0.762,78.1,0.239,0.039,0.085,0.087,0.648,0.634,0.183,0.157,0.382
Springdale,6867,1577,0.23,740,0.108,1463,0.213,3975,0.579,592,0.086,837,0.122,1694,0.247,2734,1851,0.677,1353,0.495,6839,417,0.061,1691,0.247,1548,35,0.023,580,0.375,741,63,0.085,178,0.24,81.764,0.246,0.049,0.087,0.075,0.697,0.768,0.077,0.139,0.342
Turn Of River,12678,2673,0.211,2188,0.173,1216,0.096,8956,0.706,790,0.062,1716,0.135,3145,0.248,4400,4051,0.921,1405,0.319,12649,130,0.01,644,0.051,2673,0,0,101,0.038,2188,17,0.008,181,0.083,83.733,0.263,0.051,0.081,0.073,0.722,0.822,0.057,0.107,0.316
Waterside,5848,1230,0.21,701,0.12,2646,0.452,1346,0.23,1662,0.284,194,0.033,2298,0.393,2083,889,0.427,1114,0.535,5848,887,0.152,2521,0.431,1230,285,0.232,692,0.563,701,78,0.111,113,0.161,79.1,0.296,0.056,0.1,0.106,0.688,0.628,0.161,0.177,0.389
West Side,13579,3600,0.265,1146,0.084,6630,0.488,2206,0.162,4004,0.295,739,0.054,6565,0.483,4370,1153,0.264,2509,0.574,13414,2547,0.19,6521,0.486,3483,824,0.237,2077,0.596,1098,201,0.183,402,0.366,78.1,0.284,0.054,0.098,0.108,0.684,0.601,0.195,0.176,0.401
Westover,2642,538,0.204,666,0.252,123,0.047,2319,0.878,99,0.037,102,0.039,485,0.184,948,825,0.87,310,0.327,2583,36,0.014,110,0.043,538,0,0,0,0,615,21,0.034,54,0.088,85.4,0.281,0.058,0.08,0.077,0.744,0.841,0.046,0.094,0.298
